yAxis	xAxis
947	6.9
948	7.7
949	7.4
950	7.4
951	8.6
952	8.7
953	7.5
954	6.2
955	6.2
956	4.4
957	4.0
958	2.6
959	2.4
960	2.4
961	2.1
962	2.1
963	2.1
964	2.4
965	2.2
966	2.3
967	2.1
968	2.5
969	2.7
970	3.5
971	6.0
972	6.5
973	7.3
974	9.6
975	9.8
976	7.1
977	4.6
978	4.5
979	3.6
980	3.5
981	3.8
982	2.4
983	2.0
984	1.5
985	1.5
986	1.1
987	1.1
988	1.0
989	1.1
990	1.1
991	1.0
992	0.9
993	1.5
994	1.6
995	2.1
996	2.1
997	2.6
998	4.2
999	3.5
1000	2.0
1001	1.3
1002	0.9
1003	0.7
1004	0.7
1005	0.6
1006	0.6
1007	0.3
1008	0.5
1009	0.6
1010	0.5
1011	0.7
1012	1.1
1013	1.3
1014	1.5
1015	1.6
1016	1.6
1017	1.8
1018	2.1
1019	2.3
1020	2.3
1021	2.6
1022	2.4
1023	2.6
1024	2.3
1025	2.1
1026	2.2
1027	2.3
1028	2.1
1029	2.0
1030	1.8
1031	1.6
1032	1.3
1033	1.1
1034	1.1
1035	0.9
1036	0.6
1037	0.9
1038	1.1
1039	1.1
1040	1.1
1041	1.1
1042	1.3
1043	1.3
1044	1.6
1045	1.8
1046	2.1
1047	2.0
1048	2.0
1049	2.0
1050	1.9
1051	2.0
1052	2.0
1053	1.6
1054	1.3
1055	1.1
1056	1.0
1057	0.9
1058	0.9
1059	0.7
1060	0.7
1061	0.6
1062	0.6
1063	0.6
1064	0.6
1065	0.7
1066	0.9
1067	0.9
1068	1.1
1069	0.9
1070	0.7
1071	0.9
1072	1.0
1073	1.1
1074	1.5
1075	1.6
1076	1.8
1077	1.8
1078	1.8
1079	2.1
1080	2.3
1081	2.1
1082	2.1
1083	2.5
1084	2.7
1085	2.8
1086	2.9
1087	3.0
1088	3.3
1089	3.5
1090	3.2
1091	2.6
1092	3.4
1093	3.1
1094	2.8
1095	2.1
1096	1.8
1097	1.8
1098	2.0
1099	1.9
1100	1.8
1101	1.6
1102	1.1
1103	0.9
1104	0.7
1105	0.6
1106	0.5
1107	0.4
1108	0.7
1109	1.0
1110	1.0
1111	1.0
1112	1.2
1113	1.3
1114	1.3
1115	1.4
1116	1.3
1117	1.1
1118	0.7
1119	0.8
1120	1.0
1121	1.3
1122	1.3
1123	1.3
1124	1.3
1125	1.1
1126	1.0
1127	0.3
1128	0.1
1129	-0.2
1130	-0.4
1131	-0.1
1132	0.4
1133	0.4
1134	0.4
1135	0.3
1136	0.4
1137	0.4
1138	0.5
1139	0.5
1140	0.6
1141	0.7
1142	1.0
1143	1.3
1144	1.2
1145	1.3
1146	1.6
1147	1.6
1148	1.5
1149	1.3
1150	1.5
1151	1.6
1152	1.6
1153	2.1
1154	2.2
1155	2.6
1156	3.5
1157	3.5
1158	3.7
1159	3.9
1160	4.3
1161	4.5
1162	4.9
1163	5.6
1164	4.4
1165	5.9
1166	5.7
1167	6.8
1168	6.2
1169	5.6
1170	5.6
1171	5.6
1172	5.4
1173	5.5
1174	5.4
1175	5.4
1176	5.4
1177	5.3
1178	5.2
1179	5.5
1180	4.9
1181	4.5
1182	5.2
1183	4.6
1184	4.8
1185	4.8
1186	5.2
1187	4.3
1188	3.4
1189	5.4
1190	5.1
1191	4.8
1192	4.4
1193	3.5
1194	3.9
1195	3.6
1196	3.5
1197	3.2
1198	3.1
1199	2.8
1200	2.9
1201	2.8
1202	2.8
1203	2.8
1204	2.6
1205	2.6
1206	2.5
1207	2.6
1208	2.6
1209	2.6
1210	2.6
1211	2.4
1212	2.3
1213	2.1
1214	2.3
1215	2.1
1216	2.3
1217	2.6
1218	2.9
1219	3.2
1220	3.1
1221	3.2
1222	3.3
1223	3.3
1224	3.3
1225	3.3
1226	3.3
1227	3.5
1228	3.3
1229	3.1
1230	3.3
1231	3.4
1232	3.8
1233	3.9
1234	3.6
1235	3.6
1236	3.5
1237	3.4
1238	3.4
1239	3.2
1240	3.4
1241	3.5
1242	4.3
1243	5.0
1244	4.8
1245	3.2
1246	2.7
1247	3.1
1248	2.6
1249	2.6
1250	2.6
1251	2.6
1252	2.5
1253	2.6
1254	2.6
1255	2.6
1256	2.7
1257	3.2
1258	3.3
1259	3.9
1260	3.9
1261	4.4
1262	4.3
1263	3.7
1264	3.5
1265	3.5
1266	3.1
1267	2.9
1268	2.8
1269	3.1
1270	3.1
1271	3.2
1272	3.3
1273	2.9
1274	2.9
1275	2.8
1276	2.4
1277	2.6
1278	2.6
1279	2.6
1280	2.9
1281	3.2
1282	3.9
1283	3.9
1284	4.5
1285	4.3
1286	3.2
1287	2.4
1288	2.4
1289	2.6
1290	2.9
1291	3.1
1292	3.1
1293	2.9
1294	2.8
1295	2.6
1296	2.6
1297	2.6
1298	2.9
1299	3.1
1300	3.6
1301	3.4
1302	3.1
1303	3.1
1304	3.1
1305	3.3
1306	3.6
1307	3.2
1308	3.6
1309	3.8
1310	3.6
1311	3.6
1312	3.5
1313	4.0
1314	4.4
1315	4.0
1316	4.3
1317	4.1
1318	4.3
1319	4.1
1320	4.2
1321	3.6
1322	4.0
1323	3.5
1324	3.5
1325	3.5
1326	3.2
1327	3.2
1328	3.4
1329	3.6
1330	4.2
1331	4.5
1332	4.5
1333	4.0
1334	4.3
1335	4.1
1336	3.8
1337	3.5
1338	3.4
1339	3.3
1340	3.4
